country,population,naive_rmse,medida_rmse,improvement
Maldives,523798.0,0.0046969167383761395,0.0030121620968610215,1.559317389748315
Mali,22593598.0,3.4145580261661846e-05,7.236380864190124e-06,4.71859910395738
Malta,533293.0,0.002446074550233674,0.0007613726338301242,3.2127166666453064
Marshall Islands,41593.0,1.4936136046013773e-05,1.0652666839721968e-05,1.4021029917428267
Martinique,367512.0,0.004491169993048164,0.0013400221382171293,3.3515640264149438
Mauritania,4736146.0,0.00034775623167959,8.010809989326686e-05,4.341087007967083
Mauritius,1299478.0,0.003579276086213392,0.0006771411708594054,5.285863923575481
Mayotte,326113.0,0.0031761324141584735,0.0007527826315758867,4.219189286433867
Mexico,127504120.0,0.0009621917507772927,0.00020451118513410615,4.704836804629268
Micronesia (country),114178.0,0.0,9.611762525055278e-06,0.0
Moldova,3272993.0,0.0027947721481553925,0.0007358817082041638,3.7978551674775534
Monaco,36491.0,0.00306265230653995,0.0009501146852683466,3.22345539336122
Mongolia,3398373.0,0.004621769091416371,0.00246210106723472,1.8771646513306042
Montenegro,627082.0,0.004849397068115906,0.0042908081179713255,1.1301826916484625
Montserrat,4413.0,0.0006030673273060837,0.00020609369206561144,2.9261804243581255
Morocco,37457976.0,0.001084768056052475,0.0002085695956450622,5.200988440800846
Mozambique,32969520.0,0.00024005667391833774,4.636117323517888e-05,5.177968053150618
Myanmar,54179312.0,0.0004691628724137495,7.811811659163451e-05,6.0058139249095905
Namibia,2567024.0,0.0022157257058397477,0.0004772904529534489,4.642300494654671
Nauru,12691.0,0.0,9.611762525055278e-06,0.0
Nepal,30547586.0,0.0011731963598972227,0.0002241102280634699,5.234907706064016
Netherlands,17564020.0,0.003460850241348938,0.001136856783361904,3.044227111100607
New Caledonia,289959.0,0.003573063605880227,0.0007455997318586777,4.792200765648172
New Zealand,5185289.0,0.00015466003436097578,2.0542470689406807e-05,7.528794208806136
Nicaragua,6948395.0,7.514409366530705e-05,1.2216865210704029e-05,6.150849041001793
Niger,26207982.0,1.2343693813214927e-05,7.5737554914856334e-06,1.6297982984916304
Nigeria,218541216.0,3.944521099049257e-05,7.0288778106908015e-06,5.611878887764572
Niue,1952.0,0.0,9.611762525055278e-06,0.0
